STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       4271;19340101;19340131;    5;  -999;   1.40;    -999;    -999;-999;-999;-999;-999;-999;    1;    41.1;   11.0;eor
       4271;19340201;19340228;    5;  -999;   2.70;    -999;    -999;-999;-999;-999;-999;-999;    1;    16.9;    6.3;eor
       4271;19340301;19340331;    5;  -999;   4.20;    -999;    -999;-999;-999;-999;-999;-999;    1;    34.2;    9.7;eor
       4271;19340401;19340430;    5;  -999;   9.00;    -999;    -999;-999;-999;-999;-999;-999;    1;    20.4;    6.2;eor
       4271;19340501;19340531;    5;  -999;  12.30;    -999;    -999;-999;-999;-999;-999;-999;    1;    10.2;    2.8;eor
       4271;19340601;19340630;    5;  -999;  15.20;    -999;    -999;-999;-999;-999;-999;-999;    1;    13.3;    4.8;eor
       4271;19340701;19340731;    5;  -999;  18.20;    -999;    -999;-999;-999;-999;-999;-999;    1;    61.3;   20.0;eor
       4271;19340801;19340831;    5;  -999;  17.20;    -999;    -999;-999;-999;-999;-999;-999;    1;    86.6;   30.0;eor
       4271;19340901;19340930;    5;  -999;  15.80;    -999;    -999;-999;-999;-999;-999;-999;    1;    48.2;   36.7;eor
       4271;19341001;19341031;    5;  -999;  10.50;    -999;    -999;-999;-999;-999;-999;-999;    1;   101.1;   14.7;eor
       4271;19341101;19341130;    5;  -999;   5.80;    -999;    -999;-999;-999;-999;-999;-999;    1;    30.3;   24.2;eor
       4271;19341201;19341231;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;    1;    42.5;   13.0;eor
       4271;19350101;19350131;    5;  -999;   0.60;    -999;    -999;-999;-999;-999;-999;-999;    1;    30.6;    9.3;eor
       4271;19350201;19350228;    5;  -999;   3.00;    -999;    -999;-999;-999;-999;-999;-999;    1;-999;-999;eor
       4271;19350301;19350331;    5;  -999;   3.20;    -999;    -999;-999;-999;-999;-999;-999;    1;    25.3;    7.5;eor
       4271;19350401;19350430;    5;  -999;   7.80;    -999;    -999;-999;-999;-999;-999;-999;    1;    47.0;    8.4;eor
       4271;19350501;19350531;    5;  -999;   9.90;    -999;    -999;-999;-999;-999;-999;-999;    1;    46.8;   19.9;eor
       4271;19350601;19350630;    5;  -999;  16.90;    -999;    -999;-999;-999;-999;-999;-999;    1;    88.6;   29.4;eor
       4271;19350701;19350731;    5;  -999;  17.90;    -999;    -999;-999;-999;-999;-999;-999;    1;-999;-999;eor
       4271;19350801;19350831;    5;  -999;  17.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    66.0;-999;eor
       4271;19350901;19350930;    5;  -999;  14.30;    -999;    -999;-999;-999;-999;-999;-999;    5;   112.0;-999;eor
       4271;19351001;19351031;    5;  -999;   9.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    96.0;-999;eor
       4271;19351101;19351130;    5;  -999;   4.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    34.0;-999;eor
       4271;19351201;19351231;    5;  -999;   1.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    27.0;-999;eor
       4271;19360101;19360131;    5;  -999;   2.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    44.0;-999;eor
       4271;19360201;19360229;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    38.0;-999;eor
       4271;19360301;19360331;    5;  -999;   3.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    13.0;-999;eor
       4271;19360401;19360430;    5;  -999;   5.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    64.0;-999;eor
       4271;19360501;19360531;    5;  -999;  10.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    35.0;-999;eor
       4271;19360601;19360630;    5;  -999;  16.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    25.0;-999;eor
       4271;19360701;19360731;    5;  -999;  17.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    91.0;-999;eor
       4271;19360801;19360831;    5;  -999;  16.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    61.0;-999;eor
       4271;19360901;19360930;    5;  -999;  13.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    71.0;-999;eor
       4271;19361001;19361031;    5;  -999;   7.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    56.0;-999;eor
       4271;19361101;19361130;    5;  -999;   4.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    32.0;-999;eor
       4271;19361201;19361231;    5;  -999;   2.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19370101;19370131;    5;  -999;  -2.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    19.0;-999;eor
       4271;19370201;19370228;    5;  -999;   1.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    60.0;-999;eor
       4271;19370301;19370331;    5;  -999;   1.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    85.0;-999;eor
       4271;19370401;19370430;    5;  -999;   7.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    65.0;-999;eor
       4271;19370501;19370531;    5;  -999;  13.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    56.0;-999;eor
       4271;19370601;19370630;    5;  -999;  16.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    48.0;-999;eor
       4271;19370701;19370731;    5;  -999;  17.80;    -999;    -999;-999;-999;-999;-999;-999;    5;   122.0;-999;eor
       4271;19370801;19370831;    5;  -999;  18.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    16.0;-999;eor
       4271;19370901;19370930;    5;  -999;  14.10;    -999;    -999;-999;-999;-999;-999;-999;    5;   122.0;-999;eor
       4271;19371001;19371031;    5;  -999;  10.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19371101;19371130;    5;  -999;   4.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    41.0;-999;eor
       4271;19371201;19371231;    5;  -999;   0.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    52.0;-999;eor
       4271;19380101;19380131;    5;  -999;   2.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    53.0;-999;eor
       4271;19380201;19380228;    5;  -999;   2.40;    -999;    -999;-999;-999;-999;-999;-999;    5;     8.0;-999;eor
       4271;19380301;19380331;    5;  -999;   7.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    21.0;-999;eor
       4271;19380401;19380430;    5;  -999;   6.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19380501;19380531;    5;  -999;  10.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    53.0;-999;eor
       4271;19380601;19380630;    5;  -999;  15.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    40.0;-999;eor
       4271;19380701;19380731;    5;  -999;  17.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    50.0;-999;eor
       4271;19380801;19380831;    5;  -999;  19.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    19.0;-999;eor
       4271;19380901;19380930;    5;  -999;  15.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    57.0;-999;eor
       4271;19381001;19381031;    5;  -999;   9.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    58.0;-999;eor
       4271;19381101;19381130;    5;  -999;   7.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    25.0;-999;eor
       4271;19381201;19381231;    5;  -999;  -0.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    13.0;-999;eor
       4271;19390101;19390131;    5;  -999;   2.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    54.0;-999;eor
       4271;19390201;19390228;    5;  -999;   3.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    13.0;-999;eor
       4271;19390301;19390331;    5;  -999;   2.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    61.0;-999;eor
       4271;19390401;19390430;    5;  -999;   7.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    53.0;-999;eor
       4271;19390501;19390531;    5;  -999;  10.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19390601;19390630;    5;  -999;  16.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    49.0;-999;eor
       4271;19390701;19390731;    5;  -999;  18.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    87.0;-999;eor
       4271;19390801;19390831;    5;  -999;  19.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    60.0;-999;eor
       4271;19390901;19390930;    5;  -999;  14.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    43.0;-999;eor
       4271;19391001;19391031;    5;  -999;   6.90;    -999;    -999;-999;-999;-999;-999;-999;    5;   100.0;-999;eor
       4271;19391101;19391130;    5;  -999;   5.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    36.0;-999;eor
       4271;19391201;19391231;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    31.0;-999;eor
       4271;19400101;19400131;    5;  -999;  -7.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    71.0;-999;eor
       4271;19400201;19400229;    5;  -999;  -7.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    29.0;-999;eor
       4271;19400301;19400331;    5;  -999;   0.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    60.0;-999;eor
       4271;19400401;19400430;    5;  -999;   5.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    33.0;-999;eor
       4271;19400501;19400531;    5;  -999;  11.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    52.0;-999;eor
       4271;19400601;19400630;    5;  -999;  16.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19400701;19400731;    5;  -999;  17.10;    -999;    -999;-999;-999;-999;-999;-999;    5;   120.0;-999;eor
       4271;19400801;19400831;    5;  -999;  15.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    97.0;-999;eor
       4271;19400901;19400930;    5;  -999;  12.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    35.0;-999;eor
       4271;19401001;19401031;    5;  -999;   8.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    27.0;-999;eor
       4271;19401101;19401130;    5;  -999;   5.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    44.0;-999;eor
       4271;19401201;19401231;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    24.0;-999;eor
       4271;19410101;19410131;    5;  -999;  -5.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    21.0;-999;eor
       4271;19410201;19410228;    5;  -999;  -1.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    24.0;-999;eor
       4271;19410301;19410331;    5;  -999;   1.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    37.0;-999;eor
       4271;19410401;19410430;    5;  -999;   4.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    32.0;-999;eor
       4271;19410501;19410531;    5;  -999;   9.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    37.0;-999;eor
       4271;19410601;19410630;    5;  -999;  15.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    34.0;-999;eor
       4271;19410701;19410731;    5;  -999;  19.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    71.0;-999;eor
       4271;19410801;19410831;    5;  -999;  15.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    64.0;-999;eor
       4271;19410901;19410930;    5;  -999;  13.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    50.0;-999;eor
       4271;19411001;19411031;    5;  -999;   8.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    67.0;-999;eor
       4271;19411101;19411130;    5;  -999;   1.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    19.0;-999;eor
       4271;19411201;19411231;    5;  -999;   3.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    56.0;-999;eor
       4271;19420101;19420131;    5;  -999;  -7.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    26.0;-999;eor
       4271;19420201;19420228;    5;  -999;  -5.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    12.0;-999;eor
       4271;19420301;19420331;    5;  -999;  -1.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    10.0;-999;eor
       4271;19420401;19420430;    5;  -999;   5.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    27.0;-999;eor
       4271;19420501;19420531;    5;  -999;  10.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    50.0;-999;eor
       4271;19420601;19420630;    5;  -999;  13.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    55.0;-999;eor
       4271;19420701;19420731;    5;  -999;  16.10;    -999;    -999;-999;-999;-999;-999;-999;    5;   150.0;-999;eor
       4271;19420801;19420831;    5;  -999;  18.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    29.0;-999;eor
       4271;19420901;19420930;    5;  -999;  14.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    88.0;-999;eor
       4271;19421001;19421031;    5;  -999;  10.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    51.0;-999;eor
       4271;19421101;19421130;    5;  -999;   5.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    61.0;-999;eor
       4271;19421201;19421231;    5;  -999;   3.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    62.0;-999;eor
       4271;19430101;19430131;    5;  -999;  -0.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    32.0;-999;eor
       4271;19430201;19430228;    5;  -999;   4.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    33.0;-999;eor
       4271;19430301;19430331;    5;  -999;   5.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    10.0;-999;eor
       4271;19430401;19430430;    5;  -999;   8.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
       4271;19430501;19430531;    5;  -999;  12.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    17.0;-999;eor
       4271;19430601;19430630;    5;  -999;  15.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    84.0;-999;eor
       4271;19430701;19430731;    5;  -999;  17.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    18.0;-999;eor
       4271;19430801;19430831;    5;  -999;  17.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    97.0;-999;eor
       4271;19430901;19430930;    5;  -999;  14.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    25.0;-999;eor
       4271;19431001;19431031;    5;  -999;  10.20;    -999;    -999;-999;-999;-999;-999;-999;    5;     8.0;-999;eor
       4271;19431101;19431130;    5;  -999;   3.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    31.0;-999;eor
       4271;19431201;19431231;    5;  -999;   1.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    14.0;-999;eor
       4271;19440101;19440131;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    26.0;-999;eor
       4271;19440201;19440229;    5;  -999;   1.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    33.0;-999;eor
       4271;19440301;19440331;    5;  -999;   2.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    38.0;-999;eor
       4271;19440401;19440430;    5;  -999;   7.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    28.0;-999;eor
       4271;19440501;19440531;    5;  -999;  10.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    82.0;-999;eor
       4271;19440601;19440630;    5;  -999;  14.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    38.0;-999;eor
       4271;19440701;19440731;    5;  -999;  18.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    45.0;-999;eor
       4271;19440801;19440831;    5;  -999;  19.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    17.0;-999;eor
       4271;19440901;19440930;    5;  -999;  13.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    53.0;-999;eor
       4271;19441001;19441031;    5;  -999;   9.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    52.0;-999;eor
       4271;19441101;19441130;    5;  -999;   4.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    94.0;-999;eor
       4271;19441201;19441231;    5;  -999;   0.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    37.0;-999;eor
       4271;19450101;19450131;    5;  -999;  -1.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4271;19450201;19450228;    5;  -999;   3.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4271;19460701;19460731;    5;  -999;  18.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    15.0;-999;eor
       4271;19460801;19460831;    5;  -999;  16.40;    -999;    -999;-999;-999;-999;-999;-999;    5;   189.0;-999;eor
       4271;19460901;19460930;    5;  -999;  14.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    86.0;-999;eor
       4271;19461001;19461031;    5;  -999;   8.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    48.0;-999;eor
       4271;19461101;19461130;    5;  -999;   4.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    29.0;-999;eor
